section,table_num,table_code,table_title,table_records,table_html,unitid,file,year
B,1,B1,Institutional Enrollment,"[[{0: '', 1: 'Men', 2: 'Men', 3: 'Women', 4: 'Women', 5: 'Another Gender', 6: 'Another Gender'}, {0: '', 1: 'Enrollment Full Time', 2: 'Enrollment Part Time', 3: 'Enrollment Full Time', 4: 'Enrollment Part Time', 5: 'Enrollment Full Time', 6: 'Enrollment Part Time'}, {0: 'UNDERGRADUATE STUDENTS', 1: 'UNDERGRADUATE STUDENTS', 2: 'UNDERGRADUATE STUDENTS', 3: 'UNDERGRADUATE STUDENTS', 4: 'UNDERGRADUATE STUDENTS', 5: 'UNDERGRADUATE STUDENTS', 6: 'UNDERGRADUATE STUDENTS'}, {0: 'Degree-seeking, first-time, first-year\nstudents', 1: '188.0', 2: '0.0', 3: '105.0', 4: '0.0', 5: '0.0', 6: '0.0'}, {0: 'Other first-year, degree-seeking students', 1: '0.0', 2: '0.0', 3: '0.0', 4: '0.0', 5: '0.0', 6: '0.0'}, {0: 'All other degree-seeking undergraduate\nstudents', 1: '561.0', 2: '14.0', 3: '393.0', 4: '3.0', 5: '0.0', 6: '0.0'}, {0: 'Total degree-seeking undergraduate students', 1: '749.0', 2: '14.0', 3: '498.0', 4: '3.0', 5: '0.0', 6: '0.0'}, {0: 'All other undergraduates enrolled in credit\ncourses', 1: '3.0', 2: '5.0', 3: '2.0', 4: '6.0', 5: '0.0', 6: '0.0'}]]","<table> <tr> <td> </td> <td colspan=""2""> Men </td> <td colspan=""2""> Women </td> <td colspan=""2""> Another Gender </td> </tr> <tr> <td> </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> </tr> <tr> <td colspan=""7""> UNDERGRADUATE STUDENTS </td> </tr> <tr> <td> Degree-seeking, first-time, first-year <br/> students </td> <td> 188.0 </td> <td> 0.0 </td> <td> 105.0 </td> <td> 0.0 </td> <td> 0.0 </td> <td> 0.0 </td> </tr> <tr> <td> Other first-year, degree-seeking students </td> <td> 0.0 </td> <td> 0.0 </td> <td> 0.0 </td> <td> 0.0 </td> <td> 0.0 </td> <td> 0.0 </td> </tr> <tr> <td> All other degree-seeking undergraduate <br/> students </td> <td> 561.0 </td> <td> 14.0 </td> <td> 393.0 </td> <td> 3.0 </td> <td> 0.0 </td> <td> 0.0 </td> </tr> <tr> <td> Total degree-seeking undergraduate students </td> <td> 749.0 </td> <td> 14.0 </td> <td> 498.0 </td> <td> 3.0 </td> <td> 0.0 </td> <td> 0.0 </td> </tr> <tr> <td> All other undergraduates enrolled in credit <br/> courses </td> <td> 3.0 </td> <td> 5.0 </td> <td> 2.0 </td> <td> 6.0 </td> <td> 0.0 </td> <td> 0.0 </td> </tr> </table>",215798,../data/cds-docs/2023-2024/215798.pdf,2023-2024
B,4,B4,- B21. Graduation Rates,"[[{0: '', 1: '2017 COHORT (AY - 7)', 2: '2017 COHORT (AY - 7)', 3: '2017 COHORT (AY - 7)', 4: '2017 COHORT (AY - 7)'}, {0: '2017 cohort if available. If Fall 2017 cohort data are not available,\nprovide data for the Fall 2016 cohort.', 1: 'Recipients\nof a Federal\nPell Grant', 2: 'Recipients of\na Subsidized\nStafford\nreceive Loan, did Grant not who a Pell', 3: 'Students\nwho receive did not\neither a Pell\nsubsidized Grant or a\nStafford\nLoan', 4: 'Total'}, {0: ""A. Initial 2017 cohort of first-time, full-time, bachelor's (or equivalent)\ndegree-seeking undergraduate students"", 1: '148.0', 2: '159.0', 3: '149.0', 4: '456.0'}]]","<table> <tr> <td> </td> <td colspan=""4""> 2017 COHORT (AY - 7) </td> </tr> <tr> <td> 2017 cohort if available. If Fall 2017 cohort data are not available, <br/> provide data for the Fall 2016 cohort. </td> <td> Recipients <br/> of a Federal <br/> Pell Grant </td> <td> Recipients of <br/> a Subsidized <br/> Stafford <br/> receive Loan, did Grant not who a Pell </td> <td> Students <br/> who receive did not <br/> either a Pell <br/> subsidized Grant or a <br/> Stafford <br/> Loan </td> <td> Total </td> </tr> <tr> <td> A. Initial 2017 cohort of first-time, full-time, bachelor's (or equivalent) <br/> degree-seeking undergraduate students </td> <td> 148.0 </td> <td> 159.0 </td> <td> 149.0 </td> <td> 456.0 </td> </tr> </table>",215798,../data/cds-docs/2023-2024/215798.pdf,2023-2024
C,5,C5,Admission Requirements: High School Units Required/Recommended,"[[{0: '', 1: 'Required Units', 2: 'Recommended Units'}, {0: 'Total Academic Units', 1: '16.0', 2: '20.0'}, {0: 'English', 1: '4.0', 2: '4.0'}, {0: 'Mathematics', 1: '3.0', 2: '3.0'}, {0: 'Science', 1: '1.0', 2: '3.0'}, {0: 'of Science Units, how many units must be lab', 1: '0.0', 2: '3.0'}, {0: 'Foreign language', 1: '0.0', 2: '2.0'}, {0: 'Social Studies', 1: '3.0', 2: '3.0'}, {0: 'History', 1: '0.0', 2: '0.0'}, {0: 'Computer Science', 1: '0.0', 2: '0.0'}, {0: 'Visual/Performing Arts', 1: '0.0', 2: '0.0'}, {0: 'Academic Electives', 1: '5.0', 2: '5.0'}]]","<table> <tr> <td> </td> <td> Required Units </td> <td> Recommended Units </td> </tr> <tr> <td> Total Academic Units </td> <td> 16.0 </td> <td> 20.0 </td> </tr> <tr> <td> English </td> <td> 4.0 </td> <td> 4.0 </td> </tr> <tr> <td> Mathematics </td> <td> 3.0 </td> <td> 3.0 </td> </tr> <tr> <td> Science </td> <td> 1.0 </td> <td> 3.0 </td> </tr> <tr> <td> of Science Units, how many units must be lab </td> <td> 0.0 </td> <td> 3.0 </td> </tr> <tr> <td> Foreign language </td> <td> 0.0 </td> <td> 2.0 </td> </tr> <tr> <td> Social Studies </td> <td> 3.0 </td> <td> 3.0 </td> </tr> <tr> <td> History </td> <td> 0.0 </td> <td> 0.0 </td> </tr> <tr> <td> Computer Science </td> <td> 0.0 </td> <td> 0.0 </td> </tr> <tr> <td> Visual/Performing Arts </td> <td> 0.0 </td> <td> 0.0 </td> </tr> <tr> <td> Academic Electives </td> <td> 5.0 </td> <td> 5.0 </td> </tr> </table>",215798,../data/cds-docs/2023-2024/215798.pdf,2023-2024
C,9,C9,"First-time, first-year profile: National standardized test scores (SAT/ACT)","[[{0: '55%', 1: '159'}, {0: '8%', 1: '22'}], [{0: '1010', 1: '1100', 2: '1220'}, {0: '500', 1: '560', 2: '613'}, {0: '493', 1: '550', 2: '618'}, {0: '21', 1: '24', 2: '25'}, {0: '17', 1: '22', 2: '26'}, {0: '21', 1: '23', 2: '25'}]]","<table> <tr> <td> 55% </td> <td> 159 </td> </tr> <tr> <td> 8% </td> <td> 22 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> 1010 </td> <td> 1100 </td> <td> 1220 </td> </tr> <tr> <td> 500 </td> <td> 560 </td> <td> 613 </td> </tr> <tr> <td> 493 </td> <td> 550 </td> <td> 618 </td> </tr> <tr> <td> 21 </td> <td> 24 </td> <td> 25 </td> </tr> <tr> <td> 17 </td> <td> 22 </td> <td> 26 </td> </tr> <tr> <td> 21 </td> <td> 23 </td> <td> 25 </td> </tr> </table>",215798,../data/cds-docs/2023-2024/215798.pdf,2023-2024
D,2,D2,Fall Applicants: Student Counts,"[[{0: '113', 1: '45', 2: '20'}, {0: '54', 1: '26', 2: '13'}, {0: '0', 1: '0', 2: '0'}, {0: '167', 1: '71', 2: '33'}]]",<table> <tr> <td> 113 </td> <td> 45 </td> <td> 20 </td> </tr> <tr> <td> 54 </td> <td> 26 </td> <td> 13 </td> </tr> <tr> <td> 0 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> 167 </td> <td> 71 </td> <td> 33 </td> </tr> </table>,215798,../data/cds-docs/2023-2024/215798.pdf,2023-2024
F,1,F1,"First-time, first-year degree-seeking students and undergraduates enrolled","[[{0: 'First-time,\nFirst-year Students', 1: 'Undergraduates'}, {0: '30.0%', 1: '23.0%'}, {0: '0.0%', 1: '0.0%'}, {0: '0.0%', 1: '0.0%'}, {0: '83.0%', 1: '68.0%'}, {0: '17.0%', 1: '32.0%'}, {0: '0.0%', 1: '2.0%'}, {0: '18', 1: '20'}, {0: '18', 1: '20'}]]","<table> <tr> <td> First-time, <br/> First-year Students </td> <td> Undergraduates </td> </tr> <tr> <td> 30.0% </td> <td> 23.0% </td> </tr> <tr> <td> 0.0% </td> <td> 0.0% </td> </tr> <tr> <td> 0.0% </td> <td> 0.0% </td> </tr> <tr> <td> 83.0% </td> <td> 68.0% </td> </tr> <tr> <td> 17.0% </td> <td> 32.0% </td> </tr> <tr> <td> 0.0% </td> <td> 2.0% </td> </tr> <tr> <td> 18 </td> <td> 20 </td> </tr> <tr> <td> 18 </td> <td> 20 </td> </tr> </table>",215798,../data/cds-docs/2023-2024/215798.pdf,2023-2024
H,5,H5,Number/Percent Borrowers and Average Borrowed Amount,"[[{0: 'Source/Type of Loan', 1: 'Number in the class\n(defined in H4 above)\nwho borrowed from\nthe types of loans\nspecific in the first\ncolumn', 2: 'Percent of the class\n(defined above) who\nborrowed from the\ntypes of loans\nspecified in the first\ncolumn (nearest 1%)', 3: 'Average per\ufffe\nundergraduate\ufffe\nborrower\ncumulative\nprincipal\nborrowed from\nthe types of loans\nspecific in the first\ncolumn (nearest\n$1)'}, {0: 'A. Any loan program: Federal Perkins, Federal\nStafford Subsidized and Unsubsidized, institutional,\nstate, private loans that your institution is aware of,\netc. Include both Federal Direct Student Loans and\nFederal Family Education Loans.', 1: '209', 2: '68%', 3: '$38,934'}]]","<table> <tr> <td> Source/Type of Loan </td> <td> Number in the class <br/> (defined in H4 above) <br/> who borrowed from <br/> the types of loans <br/> specific in the first <br/> column </td> <td> Percent of the class <br/> (defined above) who <br/> borrowed from the <br/> types of loans <br/> specified in the first <br/> column (nearest 1%) </td> <td> Average per￾ <br/> undergraduate￾ <br/> borrower <br/> cumulative <br/> principal <br/> borrowed from <br/> the types of loans <br/> specific in the first <br/> column (nearest <br/> $1) </td> </tr> <tr> <td> A. Any loan program: Federal Perkins, Federal <br/> Stafford Subsidized and Unsubsidized, institutional, <br/> state, private loans that your institution is aware of, <br/> etc. Include both Federal Direct Student Loans and <br/> Federal Family Education Loans. </td> <td> 209 </td> <td> 68% </td> <td> $38,934 </td> </tr> </table>",215798,../data/cds-docs/2023-2024/215798.pdf,2023-2024
I,1,I1,Instructional Faculty by Category,"[[{0: '', 1: 'Full-Time', 2: 'Part-Time'}, {0: 'A. Instructional faculty in preclinical and clinical medicine, faculty who are not paid\n(e.g., those who donate their services or are in the military), or research-only\nfaculty, post-doctoral fellows, or pre-doctoral fellows', 1: 'Exclude', 2: 'Include only if they teach\none or more non-clinical\ncredit courses'}, {0: 'B. Administrative officers with titles such as dean of students, librarian, registrar,\ncoach, and the like, even though they may devote part of their time to classroom\ninstruction and may have faculty status', 1: 'Exclude', 2: 'Include only if they teach\none or more non-clinical\ncredit courses'}, {0: 'C. Other administrators/staff who teach one or more non-clinical credit courses\neven though they do not have faculty status', 1: 'Exclude', 2: 'Include'}, {0: 'D. Undergraduate or graduate students who assist in the instruction of courses,\nbut have titles such as teaching assistant, teaching fellow, and the like', 1: 'Exclude', 2: 'Exclude'}, {0: 'E. Faculty on sabbatical or leave with pay', 1: 'Include', 2: 'Exclude'}, {0: 'F. Faculty on leave without pay', 1: 'Exclude', 2: 'Exclude'}, {0: 'G. Replacement faculty for faculty on sabbatical leave or leave with pay', 1: 'Exclude', 2: 'Include'}]]","<table> <tr> <td> </td> <td> Full-Time </td> <td> Part-Time </td> </tr> <tr> <td> A. Instructional faculty in preclinical and clinical medicine, faculty who are not paid <br/> (e.g., those who donate their services or are in the military), or research-only <br/> faculty, post-doctoral fellows, or pre-doctoral fellows </td> <td> Exclude </td> <td> Include only if they teach <br/> one or more non-clinical <br/> credit courses </td> </tr> <tr> <td> B. Administrative officers with titles such as dean of students, librarian, registrar, <br/> coach, and the like, even though they may devote part of their time to classroom <br/> instruction and may have faculty status </td> <td> Exclude </td> <td> Include only if they teach <br/> one or more non-clinical <br/> credit courses </td> </tr> <tr> <td> C. Other administrators/staff who teach one or more non-clinical credit courses <br/> even though they do not have faculty status </td> <td> Exclude </td> <td> Include </td> </tr> <tr> <td> D. Undergraduate or graduate students who assist in the instruction of courses, <br/> but have titles such as teaching assistant, teaching fellow, and the like </td> <td> Exclude </td> <td> Exclude </td> </tr> <tr> <td> E. Faculty on sabbatical or leave with pay </td> <td> Include </td> <td> Exclude </td> </tr> <tr> <td> F. Faculty on leave without pay </td> <td> Exclude </td> <td> Exclude </td> </tr> <tr> <td> G. Replacement faculty for faculty on sabbatical leave or leave with pay </td> <td> Exclude </td> <td> Include </td> </tr> </table>",215798,../data/cds-docs/2023-2024/215798.pdf,2023-2024
