section,table_num,table_code,table_title,table_records,table_html,unitid,file,year
B,1,B1,Institutional Enrollment - Men and Women,"[[{0: 'Undergraduate Students: Full-Time', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'TOTAL'}, {0: 'Degree-seeking, first-time first-year\nstudents', 1: '206', 2: '224', 3: '0', 4: '430'}, {0: 'Other first-year, degree-seeking', 1: '79', 2: '133', 3: '0', 4: '212'}, {0: 'All other degree-seeking', 1: '306', 2: '493', 3: '0', 4: '799'}, {0: 'Total degree-seeking', 1: '591', 2: '850', 3: '0', 4: '1,441'}, {0: 'All other undergraduates enrolled in credit\ncourses', 1: '5', 2: '6', 3: '0', 4: '11'}, {0: 'Total undergraduate Full-Time Students', 1: '596', 2: '856', 3: '0', 4: '1,452'}], [{0: 'Undergraduate Students: Part-Time', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'TOTAL'}, {0: 'Degree-seeking, first-time first-year\nstudents', 1: '2', 2: '4', 3: '0', 4: '6'}, {0: 'Other first-year, degree-seeking', 1: '4', 2: '15', 3: '0', 4: '19'}, {0: 'All other degree-seeking', 1: '13', 2: '25', 3: '0', 4: '38'}, {0: 'Total degree-seeking', 1: '19', 2: '44', 3: '0', 4: '63'}, {0: 'All other undergraduates enrolled in credit\ncourses', 1: '36', 2: '58', 3: '0', 4: '94'}, {0: 'Total undergraduate Part-Time Students', 1: '55', 2: '102', 3: '0', 4: '157'}], [{0: 'Undergraduate Students: All', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'TOTAL'}, {0: 'Total undergraduate Students', 1: '651', 2: '958', 3: '0', 4: '1,609'}], [{0: 'Graduate Students: Full-Time', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'TOTAL'}, {0: 'Degree-seeking, first-time', 1: '18', 2: '43', 3: '0', 4: '61'}, {0: 'All other degree-seeking', 1: '22', 2: '53', 3: '0', 4: '75'}, {0: 'All other graduates enrolled in credit\ncourses', 1: '0', 2: '0', 3: '0', 4: '0'}, {0: 'Total graduate Full-Time Students', 1: '40', 2: '96', 3: '0', 4: '136'}], [{0: 'Graduate Students: Part-Time', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'TOTAL'}, {0: 'Degree-seeking, first-time', 1: '21', 2: '45', 3: '0', 4: '66'}, {0: 'All other degree-seeking', 1: '27', 2: '85', 3: '0', 4: '112'}, {0: 'All other graduates enrolled in credit\ncourses', 1: '1', 2: '19', 3: '0', 4: '20'}, {0: 'Total graduate Part-Time Students', 1: '49', 2: '149', 3: '0', 4: '198'}], [{0: 'Graduate Students: All', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'TOTAL'}, {0: 'Total Graduate Students', 1: '89', 2: '245', 3: '0', 4: '334'}], [{0: 'All Students: Total', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'TOTAL'}, {0: 'Total all students', 1: '740', 2: '1,203', 3: '0', 4: '1,943'}]]","<table> <tr> <td> Undergraduate Students: Full-Time </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> TOTAL </td> </tr> <tr> <td> Degree-seeking, first-time first-year <br/> students </td> <td> 206 </td> <td> 224 </td> <td> 0 </td> <td> 430 </td> </tr> <tr> <td> Other first-year, degree-seeking </td> <td> 79 </td> <td> 133 </td> <td> 0 </td> <td> 212 </td> </tr> <tr> <td> All other degree-seeking </td> <td> 306 </td> <td> 493 </td> <td> 0 </td> <td> 799 </td> </tr> <tr> <td> Total degree-seeking </td> <td> 591 </td> <td> 850 </td> <td> 0 </td> <td> 1,441 </td> </tr> <tr> <td> All other undergraduates enrolled in credit <br/> courses </td> <td> 5 </td> <td> 6 </td> <td> 0 </td> <td> 11 </td> </tr> <tr> <td> Total undergraduate Full-Time Students </td> <td> 596 </td> <td> 856 </td> <td> 0 </td> <td> 1,452 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> Undergraduate Students: Part-Time </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> TOTAL </td> </tr> <tr> <td> Degree-seeking, first-time first-year <br/> students </td> <td> 2 </td> <td> 4 </td> <td> 0 </td> <td> 6 </td> </tr> <tr> <td> Other first-year, degree-seeking </td> <td> 4 </td> <td> 15 </td> <td> 0 </td> <td> 19 </td> </tr> <tr> <td> All other degree-seeking </td> <td> 13 </td> <td> 25 </td> <td> 0 </td> <td> 38 </td> </tr> <tr> <td> Total degree-seeking </td> <td> 19 </td> <td> 44 </td> <td> 0 </td> <td> 63 </td> </tr> <tr> <td> All other undergraduates enrolled in credit <br/> courses </td> <td> 36 </td> <td> 58 </td> <td> 0 </td> <td> 94 </td> </tr> <tr> <td> Total undergraduate Part-Time Students </td> <td> 55 </td> <td> 102 </td> <td> 0 </td> <td> 157 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> Undergraduate Students: All </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> TOTAL </td> </tr> <tr> <td> Total undergraduate Students </td> <td> 651 </td> <td> 958 </td> <td> 0 </td> <td> 1,609 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> Graduate Students: Full-Time </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> TOTAL </td> </tr> <tr> <td> Degree-seeking, first-time </td> <td> 18 </td> <td> 43 </td> <td> 0 </td> <td> 61 </td> </tr> <tr> <td> All other degree-seeking </td> <td> 22 </td> <td> 53 </td> <td> 0 </td> <td> 75 </td> </tr> <tr> <td> All other graduates enrolled in credit <br/> courses </td> <td> 0 </td> <td> 0 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> Total graduate Full-Time Students </td> <td> 40 </td> <td> 96 </td> <td> 0 </td> <td> 136 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> Graduate Students: Part-Time </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> TOTAL </td> </tr> <tr> <td> Degree-seeking, first-time </td> <td> 21 </td> <td> 45 </td> <td> 0 </td> <td> 66 </td> </tr> <tr> <td> All other degree-seeking </td> <td> 27 </td> <td> 85 </td> <td> 0 </td> <td> 112 </td> </tr> <tr> <td> All other graduates enrolled in credit <br/> courses </td> <td> 1 </td> <td> 19 </td> <td> 0 </td> <td> 20 </td> </tr> <tr> <td> Total graduate Part-Time Students </td> <td> 49 </td> <td> 149 </td> <td> 0 </td> <td> 198 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> Graduate Students: All </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> TOTAL </td> </tr> <tr> <td> Total Graduate Students </td> <td> 89 </td> <td> 245 </td> <td> 0 </td> <td> 334 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> All Students: Total </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> TOTAL </td> </tr> <tr> <td> Total all students </td> <td> 740 </td> <td> 1,203 </td> <td> 0 </td> <td> 1,943 </td> </tr> </table>",237330,../data/cds-docs/2024-2025/237330.pdf,2024-2025
C,1,C1,"First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who","[[{0: 'First-Time, First-Year Student Applicants', 1: 'First-Time, First-Year Student Applicants', 2: 'Total'}, {0: 'Total first-time, first-year men who applied', 1: 'Total first-time, first-year men who applied', 2: '1217'}, {0: 'Total first-time,', 1: 'women who applied', 2: '1365'}, {0: 'Total first-time,', 1: 'another gender who applied', 2: '0'}, {0: 'Total first-time,', 1: 'unknown gender who applied', 2: '0'}], [{0: 'First-Time, First-Year Student Admits', 1: 'First-Time, First-Year Student Admits', 2: 'Total'}, {0: 'Total first-time, first-year men who were admitted', 1: 'Total first-time, first-year men who were admitted', 2: '1085'}, {0: 'Total first-time,', 1: 'women who were admitted', 2: '1305'}, {0: 'Total first-time,', 1: 'another gender who were admitted', 2: '0'}, {0: 'Total first-time,', 1: 'unknown gender who were admitted', 2: '0'}], [{0: 'First-Time, First-Year Student Enrollees by Status', 1: 'First-Time, First-Year Student Enrollees by Status', 2: 'Total'}, {0: 'Total full-time, first-time, first-year men who enrolled', 1: 'Total full-time, first-time, first-year men who enrolled', 2: '206'}, {0: 'Total part-time, first-time, first-year men who enrolled', 1: 'Total part-time, first-time, first-year men who enrolled', 2: '2'}, {0: 'Total full-time, first-time, first-year women who enrolled', 1: 'Total full-time, first-time, first-year women who enrolled', 2: '224'}, {0: 'Total part-time, first-time, first-year women who enrolled', 1: 'Total part-time, first-time, first-year women who enrolled', 2: '4'}, {0: 'Total full-time, first-time, first-year another gender who enrolled', 1: 'Total full-time, first-time, first-year another gender who enrolled', 2: '0'}, {0: 'Total part-time, first-time, first-year another', 1: 'gender who enrolled', 2: '0'}, {0: 'Total full-time, first-time, first-year unknown', 1: 'gender who enrolled', 2: '0'}, {0: 'Total part-time, first-time, first-year unknown', 1: 'gender who enrolled', 2: '0'}], [{0: 'First-Time, First-Year Student Applicants', 1: 'First-Time, First-Year Student Applicants', 2: 'Total', 3: 'In-State', 4: 'Out-of-State', 5: 'International', 6: 'Unknown'}, {0: 'Total first-time, first-year who applied', 1: 'Total first-time, first-year who applied', 2: '2582', 3: '1022', 4: '853', 5: '707', 6: '0'}, {0: 'Total first-time,', 1: 'who were admitted', 2: '2390', 3: '1009', 4: '844', 5: '537', 6: '0'}, {0: 'Total first-time,', 1: 'who enrolled', 2: '436', 3: '287', 4: '134', 5: '15', 6: '0'}]]","<table> <tr> <td colspan=""2""> First-Time, First-Year Student Applicants </td> <td> Total </td> </tr> <tr> <td colspan=""2""> Total first-time, first-year men who applied </td> <td> 1217 </td> </tr> <tr> <td> Total first-time, </td> <td> women who applied </td> <td> 1365 </td> </tr> <tr> <td> Total first-time, </td> <td> another gender who applied </td> <td> 0 </td> </tr> <tr> <td> Total first-time, </td> <td> unknown gender who applied </td> <td> 0 </td> </tr> </table><div class=""separator""></div><table> <tr> <td colspan=""2""> First-Time, First-Year Student Admits </td> <td> Total </td> </tr> <tr> <td colspan=""2""> Total first-time, first-year men who were admitted </td> <td> 1085 </td> </tr> <tr> <td> Total first-time, </td> <td> women who were admitted </td> <td> 1305 </td> </tr> <tr> <td> Total first-time, </td> <td> another gender who were admitted </td> <td> 0 </td> </tr> <tr> <td> Total first-time, </td> <td> unknown gender who were admitted </td> <td> 0 </td> </tr> </table><div class=""separator""></div><table> <tr> <td colspan=""2""> First-Time, First-Year Student Enrollees by Status </td> <td> Total </td> </tr> <tr> <td colspan=""2""> Total full-time, first-time, first-year men who enrolled </td> <td> 206 </td> </tr> <tr> <td colspan=""2""> Total part-time, first-time, first-year men who enrolled </td> <td> 2 </td> </tr> <tr> <td colspan=""2""> Total full-time, first-time, first-year women who enrolled </td> <td> 224 </td> </tr> <tr> <td colspan=""2""> Total part-time, first-time, first-year women who enrolled </td> <td> 4 </td> </tr> <tr> <td colspan=""2""> Total full-time, first-time, first-year another gender who enrolled </td> <td> 0 </td> </tr> <tr> <td> Total part-time, first-time, first-year another </td> <td> gender who enrolled </td> <td> 0 </td> </tr> <tr> <td> Total full-time, first-time, first-year unknown </td> <td> gender who enrolled </td> <td> 0 </td> </tr> <tr> <td> Total part-time, first-time, first-year unknown </td> <td> gender who enrolled </td> <td> 0 </td> </tr> </table><div class=""separator""></div><table> <tr> <td colspan=""2""> First-Time, First-Year Student Applicants </td> <td> Total </td> <td> In-State </td> <td> Out-of-State </td> <td> International </td> <td> Unknown </td> </tr> <tr> <td colspan=""2""> Total first-time, first-year who applied </td> <td> 2582 </td> <td> 1022 </td> <td> 853 </td> <td> 707 </td> <td> 0 </td> </tr> <tr> <td> Total first-time, </td> <td> who were admitted </td> <td> 2390 </td> <td> 1009 </td> <td> 844 </td> <td> 537 </td> <td> 0 </td> </tr> <tr> <td> Total first-time, </td> <td> who enrolled </td> <td> 436 </td> <td> 287 </td> <td> 134 </td> <td> 15 </td> <td> 0 </td> </tr> </table>",237330,../data/cds-docs/2024-2025/237330.pdf,2024-2025
C,2,C2,"First-time, first-year wait-listed students","[[{0: 'WAITING LIST', 1: 'TOTAL'}, {0: 'Number of qualified applicants offered a place on waiting list:', 1: ''}, {0: 'Number accepting a place on the waiting list:', 1: ''}, {0: 'Number of wait-listed students admitted:', 1: ''}]]",<table> <tr> <td> WAITING LIST </td> <td> TOTAL </td> </tr> <tr> <td> Number of qualified applicants offered a place on waiting list: </td> <td> </td> </tr> <tr> <td> Number accepting a place on the waiting list: </td> <td> </td> </tr> <tr> <td> Number of wait-listed students admitted: </td> <td> </td> </tr> </table>,237330,../data/cds-docs/2024-2025/237330.pdf,2024-2025
C,7,C7,"Relative importance of each of the following academic and nonacademic factors in your first-time,","[[{0: 'Academic', 1: 'Academic', 2: 'Very Important', 3: 'Important', 4: 'Considered', 5: 'Not Considered'}, {0: 'Academic GPA', 1: 'Academic GPA', 2: 'X', 3: '', 4: '', 5: ''}, {0: 'Application Essay', 1: 'Application Essay', 2: '', 3: '', 4: 'X', 5: ''}, {0: 'Class rank', 1: 'Class rank', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Recommendation(s)', 1: 'Recommendation(s)', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Rigor of secondary school record', 1: 'Rigor of secondary school record', 2: '', 3: '', 4: 'X', 5: ''}, {0: 'Standardized test scores', 1: 'Standardized test scores', 2: '', 3: '', 4: 'X', 5: ''}, {0: 'Nonacademic', 1: 'Nonacademic', 2: 'Very Important', 3: 'Important', 4: 'Considered', 5: 'Not Considered'}, {0: 'Alumni/ae relation', 1: 'Alumni/ae relation', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Character/personal qualities', 1: 'Character/personal qualities', 2: '', 3: '', 4: 'X', 5: ''}, {0: 'Extracurricular activities', 1: 'Extracurricular activities', 2: '', 3: '', 4: 'X', 5: ''}, {0: 'First generation', 1: 'First generation', 2: '', 3: '', 4: '', 5: 'X'}, {0: '', 1: 'Geographical residence', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Interview', 1: 'Interview', 2: '', 3: '', 4: 'X', 5: ''}, {0: 'Level of applicant’s interest', 1: 'Level of applicant’s interest', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Religious affiliation/commitment', 1: 'Religious affiliation/commitment', 2: '', 3: '', 4: '', 5: 'X'}]]","<table> <tr> <td colspan=""2""> Academic </td> <td> Very Important </td> <td> Important </td> <td> Considered </td> <td> Not Considered </td> </tr> <tr> <td colspan=""2""> Academic GPA </td> <td> X </td> <td> </td> <td> </td> <td> </td> </tr> <tr> <td colspan=""2""> Application Essay </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td colspan=""2""> Class rank </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td colspan=""2""> Recommendation(s) </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td colspan=""2""> Rigor of secondary school record </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td colspan=""2""> Standardized test scores </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td colspan=""2""> Nonacademic </td> <td> Very Important </td> <td> Important </td> <td> Considered </td> <td> Not Considered </td> </tr> <tr> <td colspan=""2""> Alumni/ae relation </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td colspan=""2""> Character/personal qualities </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td colspan=""2""> Extracurricular activities </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td colspan=""2""> First generation </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> </td> <td> Geographical residence </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td colspan=""2""> Interview </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td colspan=""2""> Level of applicant’s interest </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td colspan=""2""> Religious affiliation/commitment </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> </table>",237330,../data/cds-docs/2024-2025/237330.pdf,2024-2025
C,8,C8,: SAT and ACT Policies,"[[{0: 'Yes', 1: 'No'}, {0: '', 1: 'X'}]]",<table> <tr> <td> Yes </td> <td> No </td> </tr> <tr> <td> </td> <td> X </td> </tr> </table>,237330,../data/cds-docs/2024-2025/237330.pdf,2024-2025
C,10,C10,each of the following ranges (report information for those students from whom you collected high,"[[{0: 'Assessment', 1: 'Percent'}, {0: 'Percent in top tenth of high school graduating class', 1: '15%'}, {0: 'Percent in top quarter of high school graduating class', 1: '36%'}, {0: 'Percent in top half of high school graduating class', 1: '64%'}, {0: 'Percent in bottom half of high school graduating class', 1: '36%'}, {0: 'Percent in bottom quarter of high school graduating class', 1: '12%'}, {0: 'Percent of total first-time, first-year students who submitted high\nschool class rank:', 1: '58%'}]]","<table> <tr> <td> Assessment </td> <td> Percent </td> </tr> <tr> <td> Percent in top tenth of high school graduating class </td> <td> 15% </td> </tr> <tr> <td> Percent in top quarter of high school graduating class </td> <td> 36% </td> </tr> <tr> <td> Percent in top half of high school graduating class </td> <td> 64% </td> </tr> <tr> <td> Percent in bottom half of high school graduating class </td> <td> 36% </td> </tr> <tr> <td> Percent in bottom quarter of high school graduating class </td> <td> 12% </td> </tr> <tr> <td> Percent of total first-time, first-year students who submitted high <br/> school class rank: </td> <td> 58% </td> </tr> </table>",237330,../data/cds-docs/2024-2025/237330.pdf,2024-2025
C,14,C14,Application closing date,"[[{0: '', 1: 'Date'}, {0: 'Application closing date (fall)', 1: ''}, {0: 'Priority Date', 1: ''}]]",<table> <tr> <td> </td> <td> Date </td> </tr> <tr> <td> Application closing date (fall) </td> <td> </td> </tr> <tr> <td> Priority Date </td> <td> </td> </tr> </table>,237330,../data/cds-docs/2024-2025/237330.pdf,2024-2025
D,2,D2,"Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer","[[{0: 'Transfer Admission', 1: 'Applicants', 2: 'Admitted\nApplicants', 3: 'Enrolled\nApplicants'}, {0: 'Men', 1: '102', 2: '90', 3: '57'}, {0: 'Women', 1: '166', 2: '148', 3: '93'}, {0: 'Another Gender', 1: '0', 2: '0', 3: '0'}, {0: 'Unknown', 1: '3', 2: '2', 3: '0'}, {0: 'Total', 1: '268', 2: '238', 3: '150'}]]",<table> <tr> <td> Transfer Admission </td> <td> Applicants </td> <td> Admitted <br/> Applicants </td> <td> Enrolled <br/> Applicants </td> </tr> <tr> <td> Men </td> <td> 102 </td> <td> 90 </td> <td> 57 </td> </tr> <tr> <td> Women </td> <td> 166 </td> <td> 148 </td> <td> 93 </td> </tr> <tr> <td> Another Gender </td> <td> 0 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> Unknown </td> <td> 3 </td> <td> 2 </td> <td> 0 </td> </tr> <tr> <td> Total </td> <td> 268 </td> <td> 238 </td> <td> 150 </td> </tr> </table>,237330,../data/cds-docs/2024-2025/237330.pdf,2024-2025
D,9,D9,"List application priority, closing, notification, and candidate reply dates for transfer students. If applications","[[{0: 'Term', 1: 'Priority Date', 2: 'Closing Date', 3: 'Notification Date', 4: 'Reply Date', 5: 'Rolling\nAdmission'}, {0: 'Fall', 1: '', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Winter', 1: '-', 2: '-', 3: '-', 4: '-', 5: '-'}, {0: 'Spring', 1: '', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Summer', 1: '', 2: '', 3: '', 4: '', 5: 'X'}]]",<table> <tr> <td> Term </td> <td> Priority Date </td> <td> Closing Date </td> <td> Notification Date </td> <td> Reply Date </td> <td> Rolling <br/> Admission </td> </tr> <tr> <td> Fall </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Winter </td> <td> - </td> <td> - </td> <td> - </td> <td> - </td> <td> - </td> </tr> <tr> <td> Spring </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Summer </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> </table>,237330,../data/cds-docs/2024-2025/237330.pdf,2024-2025
F,1,F1,"Percentages of first-time, first-year degree-seeking students and degree-seeking undergraduates enrolled in Fall","[[{0: '', 1: 'First-time, first\ufffe\nyear students', 2: 'Undergraduates'}, {0: 'Percent who are from out of state\n(exclude international/nonresidents from\nthe numerator and denominator)', 1: '32%', 2: '22%'}, {0: 'Percent of men who join fraternities', 1: '-', 2: '-'}, {0: 'Percent of women who join sororities', 1: '-', 2: '-'}, {0: 'Percent who live in college-owned, -\noperated, or -affiliated housing', 1: '65%', 2: '46%'}, {0: 'Percent who live off campus or commute', 1: '35%', 2: '54%'}, {0: 'Percent of students age 25 and older', 1: '3%', 2: '15%'}, {0: 'Average age of full-time students', 1: '19', 2: '21'}, {0: 'Average age of all students (full- and part\ufffe', 1: '19', 2: '22'}]]","<table> <tr> <td> </td> <td> First-time, first￾ <br/> year students </td> <td> Undergraduates </td> </tr> <tr> <td> Percent who are from out of state <br/> (exclude international/nonresidents from <br/> the numerator and denominator) </td> <td> 32% </td> <td> 22% </td> </tr> <tr> <td> Percent of men who join fraternities </td> <td> - </td> <td> - </td> </tr> <tr> <td> Percent of women who join sororities </td> <td> - </td> <td> - </td> </tr> <tr> <td> Percent who live in college-owned, - <br/> operated, or -affiliated housing </td> <td> 65% </td> <td> 46% </td> </tr> <tr> <td> Percent who live off campus or commute </td> <td> 35% </td> <td> 54% </td> </tr> <tr> <td> Percent of students age 25 and older </td> <td> 3% </td> <td> 15% </td> </tr> <tr> <td> Average age of full-time students </td> <td> 19 </td> <td> 21 </td> </tr> <tr> <td> Average age of all students (full- and part￾ </td> <td> 19 </td> <td> 22 </td> </tr> </table>",237330,../data/cds-docs/2024-2025/237330.pdf,2024-2025
