section,table_num,table_code,table_title,table_records,table_html,unitid,file,year
B,1,B1,Institutional Enrollment,"[[{0: '', 1: 'Men', 2: 'Men', 3: 'Women', 4: 'Women', 5: 'Another Gender', 6: 'Another Gender'}, {0: '', 1: 'Full Time\nEnrollment', 2: 'Part Time\nEnrollment', 3: 'Full Time\nEnrollment', 4: 'Part Time\nEnrollment', 5: 'Full Time\nEnrollment', 6: 'Part Time\nEnrollment'}, {0: 'UNDERGRADUATE STUDENTS', 1: 'UNDERGRADUATE STUDENTS', 2: 'UNDERGRADUATE STUDENTS', 3: 'UNDERGRADUATE STUDENTS', 4: 'UNDERGRADUATE STUDENTS', 5: 'UNDERGRADUATE STUDENTS', 6: 'UNDERGRADUATE STUDENTS'}, {0: 'Degree-seeking, first-time, first-year\nstudents', 1: '277.0', 2: '0.0', 3: '355.0', 4: '0.0', 5: '12.0', 6: '0.0'}, {0: 'Other first-year, degree-seeking students', 1: '83.0', 2: '1.0', 3: '85.0', 4: '0.0', 5: '0.0', 6: '0.0'}, {0: 'All other degree-seeking undergraduate\nstudents', 1: '805.0', 2: '42.0', 3: '1,140.0', 4: '34.0', 5: '25.0', 6: '0.0'}, {0: 'Total degree-seeking undergraduate students', 1: '1,165.0', 2: '43.0', 3: '1,580.0', 4: '34.0', 5: '37.0', 6: '0.0'}, {0: 'All other undergraduates enrolled in credit\ncourses', 1: '0.0', 2: '4.0', 3: '1.0', 4: '12.0', 5: '0.0', 6: '0.0'}, {0: 'Total Undergraduate Students', 1: '1,165.0', 2: '47.0', 3: '1,581.0', 4: '46.0', 5: '37.0', 6: '0.0'}]]","<table> <tr> <td> </td> <td colspan=""2""> Men </td> <td colspan=""2""> Women </td> <td colspan=""2""> Another Gender </td> </tr> <tr> <td> </td> <td> Full Time <br/> Enrollment </td> <td> Part Time <br/> Enrollment </td> <td> Full Time <br/> Enrollment </td> <td> Part Time <br/> Enrollment </td> <td> Full Time <br/> Enrollment </td> <td> Part Time <br/> Enrollment </td> </tr> <tr> <td colspan=""7""> UNDERGRADUATE STUDENTS </td> </tr> <tr> <td> Degree-seeking, first-time, first-year <br/> students </td> <td> 277.0 </td> <td> 0.0 </td> <td> 355.0 </td> <td> 0.0 </td> <td> 12.0 </td> <td> 0.0 </td> </tr> <tr> <td> Other first-year, degree-seeking students </td> <td> 83.0 </td> <td> 1.0 </td> <td> 85.0 </td> <td> 0.0 </td> <td> 0.0 </td> <td> 0.0 </td> </tr> <tr> <td> All other degree-seeking undergraduate <br/> students </td> <td> 805.0 </td> <td> 42.0 </td> <td> 1,140.0 </td> <td> 34.0 </td> <td> 25.0 </td> <td> 0.0 </td> </tr> <tr> <td> Total degree-seeking undergraduate students </td> <td> 1,165.0 </td> <td> 43.0 </td> <td> 1,580.0 </td> <td> 34.0 </td> <td> 37.0 </td> <td> 0.0 </td> </tr> <tr> <td> All other undergraduates enrolled in credit <br/> courses </td> <td> 0.0 </td> <td> 4.0 </td> <td> 1.0 </td> <td> 12.0 </td> <td> 0.0 </td> <td> 0.0 </td> </tr> <tr> <td> Total Undergraduate Students </td> <td> 1,165.0 </td> <td> 47.0 </td> <td> 1,581.0 </td> <td> 46.0 </td> <td> 37.0 </td> <td> 0.0 </td> </tr> </table>",196158,../data/cds-docs/2023-2024/196158.pdf,2023-2024
B,4,B4,- B21. Graduation Rates,"[[{0: '', 1: '2017 COHORT (AY - 7)', 2: '2017 COHORT (AY - 7)', 3: '2017 COHORT (AY - 7)', 4: '2017 COHORT (AY - 7)'}, {0: '2017 cohort if available. If Fall 2017 cohort data are not available,\nprovide data for the Fall 2016 cohort.', 1: 'Recipients\nof a Federal\nPell Grant', 2: 'Recipients of\na Subsidized\nStafford\nLoan, who\ndid not\nreceive a Pell\nGrant', 3: 'Students\nwho did not\nreceive\neither a Pell\nGrant or a\nsubsidized\nStafford\nLoan', 4: 'Total'}, {0: ""A. Initial 2017 cohort of first-time, full-time, bachelor's (or equivalent)\ndegree-seeking undergraduate students"", 1: '560.0', 2: '229.0', 3: '331.0', 4: '1,120.0'}]]","<table> <tr> <td> </td> <td colspan=""4""> 2017 COHORT (AY - 7) </td> </tr> <tr> <td> 2017 cohort if available. If Fall 2017 cohort data are not available, <br/> provide data for the Fall 2016 cohort. </td> <td> Recipients <br/> of a Federal <br/> Pell Grant </td> <td> Recipients of <br/> a Subsidized <br/> Stafford <br/> Loan, who <br/> did not <br/> receive a Pell <br/> Grant </td> <td> Students <br/> who did not <br/> receive <br/> either a Pell <br/> Grant or a <br/> subsidized <br/> Stafford <br/> Loan </td> <td> Total </td> </tr> <tr> <td> A. Initial 2017 cohort of first-time, full-time, bachelor's (or equivalent) <br/> degree-seeking undergraduate students </td> <td> 560.0 </td> <td> 229.0 </td> <td> 331.0 </td> <td> 1,120.0 </td> </tr> </table>",196158,../data/cds-docs/2023-2024/196158.pdf,2023-2024
C,5,C5,Admission Requirements: High School Units Required/Recommended,"[[{0: '', 1: 'Units\nRequired', 2: 'Units\nRecommended'}, {0: 'Total Academic Units', 1: '22.0', 2: ''}, {0: 'English', 1: '4.0', 2: ''}, {0: 'Mathematics', 1: '3.0', 2: ''}, {0: 'Science', 1: '3.0', 2: ''}, {0: 'of Science Units, how many units must be lab', 1: '', 2: ''}, {0: 'Foreign language', 1: '1.0', 2: ''}, {0: 'Social Studies', 1: '4.0', 2: ''}, {0: 'History', 1: '', 2: ''}, {0: 'Computer Science', 1: '', 2: ''}, {0: 'Visual/Performing Arts', 1: '1.0', 2: ''}, {0: 'Academic Electives', 1: '3.5', 2: ''}]]","<table> <tr> <td> </td> <td> Units <br/> Required </td> <td> Units <br/> Recommended </td> </tr> <tr> <td> Total Academic Units </td> <td> 22.0 </td> <td> </td> </tr> <tr> <td> English </td> <td> 4.0 </td> <td> </td> </tr> <tr> <td> Mathematics </td> <td> 3.0 </td> <td> </td> </tr> <tr> <td> Science </td> <td> 3.0 </td> <td> </td> </tr> <tr> <td> of Science Units, how many units must be lab </td> <td> </td> <td> </td> </tr> <tr> <td> Foreign language </td> <td> 1.0 </td> <td> </td> </tr> <tr> <td> Social Studies </td> <td> 4.0 </td> <td> </td> </tr> <tr> <td> History </td> <td> </td> <td> </td> </tr> <tr> <td> Computer Science </td> <td> </td> <td> </td> </tr> <tr> <td> Visual/Performing Arts </td> <td> 1.0 </td> <td> </td> </tr> <tr> <td> Academic Electives </td> <td> 3.5 </td> <td> </td> </tr> </table>",196158,../data/cds-docs/2023-2024/196158.pdf,2023-2024
C,9,C9,"First-time, first-year profile: National standardized test scores (SAT/ACT)","[[{0: '4%', 1: '25'}, {0: '12%', 1: '75'}], [{0: '1150', 1: '1240', 2: '1330'}, {0: '520', 1: '600', 2: '650'}, {0: '540', 1: '590', 2: '640'}, {0: '21', 1: '25', 2: '28'}]]","<table> <tr> <td> 4% </td> <td> 25 </td> </tr> <tr> <td> 12% </td> <td> 75 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> 1150 </td> <td> 1240 </td> <td> 1330 </td> </tr> <tr> <td> 520 </td> <td> 600 </td> <td> 650 </td> </tr> <tr> <td> 540 </td> <td> 590 </td> <td> 640 </td> </tr> <tr> <td> 21 </td> <td> 25 </td> <td> 28 </td> </tr> </table>",196158,../data/cds-docs/2023-2024/196158.pdf,2023-2024
D,2,D2,Fall Applicants: Student Counts,"[[{0: '312', 1: '156', 2: '80'}, {0: '352', 1: '168', 2: '80'}, {0: '8', 1: '2', 2: ''}, {0: '672', 1: '326', 2: '160'}]]",<table> <tr> <td> 312 </td> <td> 156 </td> <td> 80 </td> </tr> <tr> <td> 352 </td> <td> 168 </td> <td> 80 </td> </tr> <tr> <td> 8 </td> <td> 2 </td> <td> </td> </tr> <tr> <td> 672 </td> <td> 326 </td> <td> 160 </td> </tr> </table>,196158,../data/cds-docs/2023-2024/196158.pdf,2023-2024
F,1,F1,"First-time, first-year degree-seeking students and undergraduates enrolled","[[{0: 'First-time,\nFirst-year Students', 1: 'Undergraduates'}, {0: '4.8%', 1: '4.9%'}, {0: '2.2%', 1: '1.1%'}, {0: '2.8%', 1: '1.1%'}, {0: '89.9%', 1: '52.6%'}, {0: '10.1%', 1: '47.4%'}, {0: '0.0%', 1: '3.4%'}, {0: '18', 1: '20'}, {0: '18', 1: '20'}]]","<table> <tr> <td> First-time, <br/> First-year Students </td> <td> Undergraduates </td> </tr> <tr> <td> 4.8% </td> <td> 4.9% </td> </tr> <tr> <td> 2.2% </td> <td> 1.1% </td> </tr> <tr> <td> 2.8% </td> <td> 1.1% </td> </tr> <tr> <td> 89.9% </td> <td> 52.6% </td> </tr> <tr> <td> 10.1% </td> <td> 47.4% </td> </tr> <tr> <td> 0.0% </td> <td> 3.4% </td> </tr> <tr> <td> 18 </td> <td> 20 </td> </tr> <tr> <td> 18 </td> <td> 20 </td> </tr> </table>",196158,../data/cds-docs/2023-2024/196158.pdf,2023-2024
I,1,I1,Instructional Faculty by Category,"[[{0: '', 1: 'Full-Time', 2: 'Part-Time'}, {0: 'A. Instructional faculty in preclinical and clinical medicine, faculty who are not paid\n(e.g., those who donate their services or are in the military), or research-only\nfaculty, post-doctoral fellows, or pre-doctoral fellows', 1: 'Exclude', 2: 'Include only if they teach\none or more non-clinical\ncredit courses'}, {0: 'B. Administrative officers with titles such as dean of students, librarian, registrar,\ncoach, and the like, even though they may devote part of their time to classroom\ninstruction and may have faculty status', 1: 'Exclude', 2: 'Include only if they teach\none or more non-clinical\ncredit courses'}, {0: 'C. Other administrators/staff who teach one or more non-clinical credit courses\neven though they do not have faculty status', 1: 'Exclude', 2: 'Include'}, {0: 'D. Undergraduate or graduate students who assist in the instruction of courses,\nbut have titles such as teaching assistant, teaching fellow, and the like', 1: 'Exclude', 2: 'Exclude'}, {0: 'E. Faculty on sabbatical or leave with pay', 1: 'Include', 2: 'Exclude'}, {0: 'F. Faculty on leave without pay', 1: 'Exclude', 2: 'Exclude'}, {0: 'G. Replacement faculty for faculty on sabbatical leave or leave with pay', 1: 'Exclude', 2: 'Include'}]]","<table> <tr> <td> </td> <td> Full-Time </td> <td> Part-Time </td> </tr> <tr> <td> A. Instructional faculty in preclinical and clinical medicine, faculty who are not paid <br/> (e.g., those who donate their services or are in the military), or research-only <br/> faculty, post-doctoral fellows, or pre-doctoral fellows </td> <td> Exclude </td> <td> Include only if they teach <br/> one or more non-clinical <br/> credit courses </td> </tr> <tr> <td> B. Administrative officers with titles such as dean of students, librarian, registrar, <br/> coach, and the like, even though they may devote part of their time to classroom <br/> instruction and may have faculty status </td> <td> Exclude </td> <td> Include only if they teach <br/> one or more non-clinical <br/> credit courses </td> </tr> <tr> <td> C. Other administrators/staff who teach one or more non-clinical credit courses <br/> even though they do not have faculty status </td> <td> Exclude </td> <td> Include </td> </tr> <tr> <td> D. Undergraduate or graduate students who assist in the instruction of courses, <br/> but have titles such as teaching assistant, teaching fellow, and the like </td> <td> Exclude </td> <td> Exclude </td> </tr> <tr> <td> E. Faculty on sabbatical or leave with pay </td> <td> Include </td> <td> Exclude </td> </tr> <tr> <td> F. Faculty on leave without pay </td> <td> Exclude </td> <td> Exclude </td> </tr> <tr> <td> G. Replacement faculty for faculty on sabbatical leave or leave with pay </td> <td> Exclude </td> <td> Include </td> </tr> </table>",196158,../data/cds-docs/2023-2024/196158.pdf,2023-2024
