section,table_num,table_code,table_title,table_records,table_html,unitid,file,year
B,1,B1,Institutional Enrollment—Men and Women. Provide numbers of students for each of the following categories as of,"[[{0: '', 1: 'FULL-TIME', 2: 'FULL-TIME', 3: 'PART-TIME', 4: 'PART-TIME'}, {0: '', 1: 'Men', 2: 'Women', 3: 'Men', 4: 'Women'}, {0: 'Undergraduates', 1: '', 2: '', 3: '', 4: ''}, {0: 'Degree-seeking, first-time\nfreshmen', 1: '161', 2: '194', 3: '4', 4: '6'}, {0: 'Other first-year, degree\ufffe\nseeking', 1: '28', 2: '26', 3: '9', 4: '15'}, {0: 'All other degree-seeking', 1: '491', 2: '819', 3: '101', 4: '218'}, {0: 'Total degree-seeking', 1: '680', 2: '1039', 3: '114', 4: '239'}, {0: 'All other undergraduates\nenrolled in credit courses', 1: '1', 2: '1', 3: '162', 4: '238'}, {0: 'Total undergraduates', 1: '681', 2: '1040', 3: '276', 4: '477'}, {0: 'Graduate', 1: '', 2: '', 3: '', 4: ''}, {0: 'Degree-seeking, first-time', 1: '14', 2: '46', 3: '12', 4: '22'}, {0: 'All other degree-seeking', 1: '16', 2: '46', 3: '25', 4: '80'}, {0: 'All other graduates enrolled\nin credit courses', 1: '0', 2: '0', 3: '2', 4: '4'}, {0: 'Total graduate', 1: '30', 2: '92', 3: '39', 4: '106'}]]","<table> <tr> <td> </td> <td colspan=""2""> FULL-TIME </td> <td colspan=""2""> PART-TIME </td> </tr> <tr> <td> </td> <td> Men </td> <td> Women </td> <td> Men </td> <td> Women </td> </tr> <tr> <td> Undergraduates </td> <td> </td> <td> </td> <td> </td> <td> </td> </tr> <tr> <td> Degree-seeking, first-time <br/> freshmen </td> <td> 161 </td> <td> 194 </td> <td> 4 </td> <td> 6 </td> </tr> <tr> <td> Other first-year, degree￾ <br/> seeking </td> <td> 28 </td> <td> 26 </td> <td> 9 </td> <td> 15 </td> </tr> <tr> <td> All other degree-seeking </td> <td> 491 </td> <td> 819 </td> <td> 101 </td> <td> 218 </td> </tr> <tr> <td> Total degree-seeking </td> <td> 680 </td> <td> 1039 </td> <td> 114 </td> <td> 239 </td> </tr> <tr> <td> All other undergraduates <br/> enrolled in credit courses </td> <td> 1 </td> <td> 1 </td> <td> 162 </td> <td> 238 </td> </tr> <tr> <td> Total undergraduates </td> <td> 681 </td> <td> 1040 </td> <td> 276 </td> <td> 477 </td> </tr> <tr> <td> Graduate </td> <td> </td> <td> </td> <td> </td> <td> </td> </tr> <tr> <td> Degree-seeking, first-time </td> <td> 14 </td> <td> 46 </td> <td> 12 </td> <td> 22 </td> </tr> <tr> <td> All other degree-seeking </td> <td> 16 </td> <td> 46 </td> <td> 25 </td> <td> 80 </td> </tr> <tr> <td> All other graduates enrolled <br/> in credit courses </td> <td> 0 </td> <td> 0 </td> <td> 2 </td> <td> 4 </td> </tr> <tr> <td> Total graduate </td> <td> 30 </td> <td> 92 </td> <td> 39 </td> <td> 106 </td> </tr> </table>",200253,../data/cds-docs/2023-2024/200253.pdf,2023-2024
C,5,C5,Distribution of high school units required and/or recommended. Specify the distribution of academic high school,"[[{0: '', 1: 'Units Required'}, {0: 'Total academic units', 1: '13'}, {0: 'English', 1: '4'}, {0: 'Mathematics', 1: '3'}, {0: 'Science', 1: ''}, {0: 'Of these, units that must be lab', 1: '3'}, {0: 'Foreign language', 1: ''}, {0: 'Social studies', 1: '3'}, {0: 'History', 1: ''}]]","<table> <tr> <td> </td> <td> Units Required </td> </tr> <tr> <td> Total academic units </td> <td> 13 </td> </tr> <tr> <td> English </td> <td> 4 </td> </tr> <tr> <td> Mathematics </td> <td> 3 </td> </tr> <tr> <td> Science </td> <td> </td> </tr> <tr> <td> Of these, units that must be lab </td> <td> 3 </td> </tr> <tr> <td> Foreign language </td> <td> </td> </tr> <tr> <td> Social studies </td> <td> 3 </td> </tr> <tr> <td> History </td> <td> </td> </tr> </table>",200253,../data/cds-docs/2023-2024/200253.pdf,2023-2024
C,8,C8,Entrance exams,"[[{0: '', 1: 'SAT essay', 2: 'ACT essay'}, {0: 'For admission', 1: '', 2: ''}, {0: 'For placement', 1: '', 2: ''}, {0: 'For advising', 1: '', 2: ''}, {0: 'In place of an application essay', 1: '', 2: ''}, {0: 'As a validity check on the application essay', 1: '', 2: ''}, {0: 'No college policy as of now', 1: '', 2: ''}, {0: 'Not using essay component', 1: '', 2: ''}]]",<table> <tr> <td> </td> <td> SAT essay </td> <td> ACT essay </td> </tr> <tr> <td> For admission </td> <td> </td> <td> </td> </tr> <tr> <td> For placement </td> <td> </td> <td> </td> </tr> <tr> <td> For advising </td> <td> </td> <td> </td> </tr> <tr> <td> In place of an application essay </td> <td> </td> <td> </td> </tr> <tr> <td> As a validity check on the application essay </td> <td> </td> <td> </td> </tr> <tr> <td> No college policy as of now </td> <td> </td> <td> </td> </tr> <tr> <td> Not using essay component </td> <td> </td> <td> </td> </tr> </table>,200253,../data/cds-docs/2023-2024/200253.pdf,2023-2024
D,2,D2,"Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in fall of","[[{0: '', 1: 'Applicants', 2: 'Admitted Applicants', 3: 'Enrolled Applicants'}, {0: 'Men', 1: '228', 2: '140', 3: '99'}, {0: 'Women', 1: '389', 2: '274', 3: '158'}, {0: 'Total', 1: '617', 2: '414', 3: '257'}]]",<table> <tr> <td> </td> <td> Applicants </td> <td> Admitted Applicants </td> <td> Enrolled Applicants </td> </tr> <tr> <td> Men </td> <td> 228 </td> <td> 140 </td> <td> 99 </td> </tr> <tr> <td> Women </td> <td> 389 </td> <td> 274 </td> <td> 158 </td> </tr> <tr> <td> Total </td> <td> 617 </td> <td> 414 </td> <td> 257 </td> </tr> </table>,200253,../data/cds-docs/2023-2024/200253.pdf,2023-2024
D,5,D5,Indicate all items required of transfer students to apply for admission:,"[[{0: '', 1: 'Required\nof All', 2: 'Recommended\nof All', 3: 'Recommended\nof Some', 4: 'Required Some of', 5: 'Not required'}, {0: 'High school transcript', 1: '', 2: '', 3: '', 4: 'X', 5: ''}, {0: 'College transcript(s)', 1: 'X', 2: '', 3: '', 4: '', 5: ''}, {0: 'Essay or personal statement', 1: '', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Interview', 1: '', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Standardized test scores', 1: '', 2: '', 3: '', 4: 'X', 5: ''}, {0: 'Statement of good standing\nfrom prior institution(s)', 1: '', 2: '', 3: '', 4: '', 5: 'X'}]]",<table> <tr> <td> </td> <td> Required <br/> of All </td> <td> Recommended <br/> of All </td> <td> Recommended <br/> of Some </td> <td> Required Some of </td> <td> Not required </td> </tr> <tr> <td> High school transcript </td> <td> </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td> College transcript(s) </td> <td> X </td> <td> </td> <td> </td> <td> </td> <td> </td> </tr> <tr> <td> Essay or personal statement </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Interview </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Standardized test scores </td> <td> </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td> Statement of good standing <br/> from prior institution(s) </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> </table>,200253,../data/cds-docs/2023-2024/200253.pdf,2023-2024
D,9,D9,"List application priority, closing, notification, and candidate reply dates for transfer students. If applications are","[[{0: '', 1: 'Priority Date', 2: 'Closing Date', 3: 'Notification Date', 4: 'Reply Date', 5: 'Rolling\nAdmission'}, {0: 'Fall', 1: 'April 1', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Winter', 1: '', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Spring', 1: '', 2: '', 3: '', 4: '', 5: 'X'}, {0: 'Summer', 1: '', 2: '', 3: '', 4: '', 5: 'X'}]]",<table> <tr> <td> </td> <td> Priority Date </td> <td> Closing Date </td> <td> Notification Date </td> <td> Reply Date </td> <td> Rolling <br/> Admission </td> </tr> <tr> <td> Fall </td> <td> April 1 </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Winter </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Spring </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Summer </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> </table>,200253,../data/cds-docs/2023-2024/200253.pdf,2023-2024
G,1,G1,"Undergraduate full-time tuition, required fees, room and board","[[{0: '', 1: 'FIRST-YEAR', 2: 'UNDERGRADUATES'}, {0: 'PRIVATE INSTITUTION\nTuition:', 1: 'N/A', 2: 'N/A'}, {0: 'PUBLIC INSTITUTION\nTuition:\nIn-district:', 1: '7167.60', 2: '7167.60'}, {0: 'In-state (out-of-district):', 1: '7167.60', 2: '7167.60'}, {0: 'Out-of-state:', 1: '7167.60', 2: '7167.60'}, {0: 'NONRESIDENT ALIEN:\nTuition:', 1: '7167.60', 2: '7167.60'}, {0: 'REQUIRED FEES:', 1: '1464.20', 2: '1464.20'}, {0: 'ROOM AND BOARD:\n(on-campus)', 1: '8058.00', 2: '8058.00'}]]",<table> <tr> <td> </td> <td> FIRST-YEAR </td> <td> UNDERGRADUATES </td> </tr> <tr> <td> PRIVATE INSTITUTION <br/> Tuition: </td> <td> N/A </td> <td> N/A </td> </tr> <tr> <td> PUBLIC INSTITUTION <br/> Tuition: <br/> In-district: </td> <td> 7167.60 </td> <td> 7167.60 </td> </tr> <tr> <td> In-state (out-of-district): </td> <td> 7167.60 </td> <td> 7167.60 </td> </tr> <tr> <td> Out-of-state: </td> <td> 7167.60 </td> <td> 7167.60 </td> </tr> <tr> <td> NONRESIDENT ALIEN: <br/> Tuition: </td> <td> 7167.60 </td> <td> 7167.60 </td> </tr> <tr> <td> REQUIRED FEES: </td> <td> 1464.20 </td> <td> 1464.20 </td> </tr> <tr> <td> ROOM AND BOARD: <br/> (on-campus) </td> <td> 8058.00 </td> <td> 8058.00 </td> </tr> </table>,200253,../data/cds-docs/2023-2024/200253.pdf,2023-2024
G,5,G5,Provide the estimated expenses for a typical full-time undergraduate student:,"[[{0: '', 1: 'Residents', 2: 'Commuters\n(living at home)', 3: 'Commuters\n(not living at home)'}, {0: 'Books and supplies:', 1: '1000', 2: '1000', 3: '1000'}, {0: 'Room only:', 1: '', 2: '', 3: '3600'}, {0: 'Board only:', 1: '', 2: '2898', 3: '4458'}]]",<table> <tr> <td> </td> <td> Residents </td> <td> Commuters <br/> (living at home) </td> <td> Commuters <br/> (not living at home) </td> </tr> <tr> <td> Books and supplies: </td> <td> 1000 </td> <td> 1000 </td> <td> 1000 </td> </tr> <tr> <td> Room only: </td> <td> </td> <td> </td> <td> 3600 </td> </tr> <tr> <td> Board only: </td> <td> </td> <td> 2898 </td> <td> 4458 </td> </tr> </table>,200253,../data/cds-docs/2023-2024/200253.pdf,2023-2024
G,6,G6,Undergraduate per-credit-hour charges (tuition only):,"[[{0: 'PRIVATE INSTITUTIONS:', 1: 'N/A'}, {0: 'PUBLIC INSTITUTIONS\nIn-district:', 1: '359.70'}, {0: 'In-state (out-of-district):', 1: '359.70'}, {0: 'Out-of-state:', 1: '359.70'}, {0: 'NONRESIDENT ALIENS:', 1: '359.70'}]]",<table> <tr> <td> PRIVATE INSTITUTIONS: </td> <td> N/A </td> </tr> <tr> <td> PUBLIC INSTITUTIONS <br/> In-district: </td> <td> 359.70 </td> </tr> <tr> <td> In-state (out-of-district): </td> <td> 359.70 </td> </tr> <tr> <td> Out-of-state: </td> <td> 359.70 </td> </tr> <tr> <td> NONRESIDENT ALIENS: </td> <td> 359.70 </td> </tr> </table>,200253,../data/cds-docs/2023-2024/200253.pdf,2023-2024
H,14,H14,Check off criteria used in awarding institutional aid. Check all that apply.,"[[{0: 'Non-need', 1: 'Need-based', 2: '', 3: 'Non-need', 4: 'Need-based', 5: ''}, {0: 'X', 1: 'X', 2: 'Academics', 3: 'X', 4: '', 5: 'Leadership'}, {0: 'X', 1: 'X', 2: 'Alumni affiliation', 3: 'X', 4: 'X', 5: 'Minority status'}, {0: 'X', 1: '', 2: 'Art', 3: 'X', 4: 'X', 5: 'Music/drama'}, {0: 'X', 1: 'X', 2: 'Athletics', 3: '', 4: '', 5: 'Religious affiliation'}, {0: '', 1: '', 2: 'Job skills', 3: 'X', 4: 'X', 5: 'State/district residency'}], [{0: '', 1: 'Full-time', 2: 'Part-time'}, {0: '(a) instructional faculty in preclinical and clinical medicine, faculty who are not paid (e.g., those who donate their\nservices or are in the military), or research-only faculty, post-doctoral fellows, or pre-doctoral fellows', 1: 'Exclude', 2: 'Include only if they teach one\nor more non-clinical credit\ncourses'}, {0: '(b) administrative officers with titles such as dean of students, librarian, registrar, coach, and the like, even\nthough they may devote part of their time to classroom instruction and may have faculty status', 1: 'Exclude', 2: 'Include if they teach one or\nmore non-clinical credit\ncourses'}, {0: '(C ) other administrators/staff who teach one or more non-clinical credit courses even though they do not have\nfaculty status', 1: 'Exclude', 2: 'Include'}, {0: '(d) undergraduate or graduate students who assist in the instruction of courses, but have titles such as teaching\nassistant, teaching fellow, and the like', 1: 'Exclude', 2: 'Exclude'}, {0: '(e) faculty on sabbatical or leave with pay', 1: 'Include', 2: 'Exclude'}, {0: '(f) faculty on leave without pay', 1: 'Exclude', 2: 'Exclude'}, {0: '(g) replacement faculty for faculty on sabbatical leave or leave with pay', 1: 'Exclude', 2: 'Include'}]]","<table> <tr> <td> Non-need </td> <td> Need-based </td> <td> </td> <td> Non-need </td> <td> Need-based </td> <td> </td> </tr> <tr> <td> X </td> <td> X </td> <td> Academics </td> <td> X </td> <td> </td> <td> Leadership </td> </tr> <tr> <td> X </td> <td> X </td> <td> Alumni affiliation </td> <td> X </td> <td> X </td> <td> Minority status </td> </tr> <tr> <td> X </td> <td> </td> <td> Art </td> <td> X </td> <td> X </td> <td> Music/drama </td> </tr> <tr> <td> X </td> <td> X </td> <td> Athletics </td> <td> </td> <td> </td> <td> Religious affiliation </td> </tr> <tr> <td> </td> <td> </td> <td> Job skills </td> <td> X </td> <td> X </td> <td> State/district residency </td> </tr> </table><div class=""separator""></div><table> <tr> <td> </td> <td> Full-time </td> <td> Part-time </td> </tr> <tr> <td> (a) instructional faculty in preclinical and clinical medicine, faculty who are not paid (e.g., those who donate their <br/> services or are in the military), or research-only faculty, post-doctoral fellows, or pre-doctoral fellows </td> <td> Exclude </td> <td> Include only if they teach one <br/> or more non-clinical credit <br/> courses </td> </tr> <tr> <td> (b) administrative officers with titles such as dean of students, librarian, registrar, coach, and the like, even <br/> though they may devote part of their time to classroom instruction and may have faculty status </td> <td> Exclude </td> <td> Include if they teach one or <br/> more non-clinical credit <br/> courses </td> </tr> <tr> <td> (C ) other administrators/staff who teach one or more non-clinical credit courses even though they do not have <br/> faculty status </td> <td> Exclude </td> <td> Include </td> </tr> <tr> <td> (d) undergraduate or graduate students who assist in the instruction of courses, but have titles such as teaching <br/> assistant, teaching fellow, and the like </td> <td> Exclude </td> <td> Exclude </td> </tr> <tr> <td> (e) faculty on sabbatical or leave with pay </td> <td> Include </td> <td> Exclude </td> </tr> <tr> <td> (f) faculty on leave without pay </td> <td> Exclude </td> <td> Exclude </td> </tr> <tr> <td> (g) replacement faculty for faculty on sabbatical leave or leave with pay </td> <td> Exclude </td> <td> Include </td> </tr> </table>",200253,../data/cds-docs/2023-2024/200253.pdf,2023-2024
