section,table_num,table_code,table_title,table_records,table_html,unitid,file,year
B,1,B1,Institutional Enrollment,"[[{0: '', 1: 'Men', 2: 'Men', 3: 'Women', 4: 'Women', 5: 'Another Gender', 6: 'Another Gender'}, {0: '', 1: 'Enrollment Full Time', 2: 'Enrollment Part Time', 3: 'Enrollment Full Time', 4: 'Enrollment Part Time', 5: 'Enrollment Full Time', 6: 'Enrollment Part Time'}, {0: 'UNDERGRADUATE STUDENTS', 1: 'UNDERGRADUATE STUDENTS', 2: 'UNDERGRADUATE STUDENTS', 3: 'UNDERGRADUATE STUDENTS', 4: 'UNDERGRADUATE STUDENTS', 5: 'UNDERGRADUATE STUDENTS', 6: 'UNDERGRADUATE STUDENTS'}, {0: 'Degree-seeking, first-time, first-year students', 1: '1,679', 2: '7', 3: '1,903', 4: '7', 5: '0', 6: '0'}, {0: 'Other first-year, degree-seeking students', 1: '886', 2: '104', 3: '821', 4: '98', 5: '0', 6: '0'}, {0: 'All other degree-seeking undergraduate\nstudents', 1: '5,481', 2: '742', 3: '5,901', 4: '530', 5: '0', 6: '0'}, {0: 'Total degree-seeking undergraduate students', 1: '8,046', 2: '853', 3: '8,625', 4: '635', 5: '0', 6: '0'}, {0: 'All other undergraduates enrolled in credit\ncourses', 1: '148', 2: '90', 3: '94', 4: '76', 5: '0', 6: '0'}, {0: 'Total Undergraduate Students', 1: '8,194', 2: '943', 3: '8,719', 4: '711', 5: '0', 6: '0'}, {0: '', 1: '', 2: '', 3: 'degree-seeking', 4: '1,488', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: '', 4: '16,671', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: '', 4: '18,159', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: '', 4: '18,567', 5: '', 6: ''}], [{0: '', 1: 'Men', 2: 'Men', 3: 'Women', 4: 'Women', 5: 'Another Gender', 6: 'Another Gender'}, {0: '', 1: 'Enrollment Full Time', 2: 'Enrollment Part Time', 3: 'Enrollment Full Time', 4: 'Enrollment Part Time', 5: 'Enrollment Full Time', 6: 'Enrollment Part Time'}, {0: 'GRADUATE STUDENTS', 1: 'GRADUATE STUDENTS', 2: 'GRADUATE STUDENTS', 3: 'GRADUATE STUDENTS', 4: 'GRADUATE STUDENTS', 5: 'GRADUATE STUDENTS', 6: 'GRADUATE STUDENTS'}, {0: 'Degree-seeking, first-time', 1: '207', 2: '134', 3: '328', 4: '131', 5: '0', 6: '0'}, {0: 'All other degree-seeking', 1: '775', 2: '855', 3: '1,090', 4: '972', 5: '0', 6: '0'}, {0: 'All other graduates enrolled in credit courses', 1: '13', 2: '32', 3: '4', 4: '42', 5: '0', 6: '0'}, {0: 'Total Graduate Students', 1: '995', 2: '1,021', 3: '1,422', 4: '1,145', 5: '0', 6: '0'}]]","<table> <tr> <td> </td> <td colspan=""2""> Men </td> <td colspan=""2""> Women </td> <td colspan=""2""> Another Gender </td> </tr> <tr> <td> </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> </tr> <tr> <td colspan=""7""> UNDERGRADUATE STUDENTS </td> </tr> <tr> <td> Degree-seeking, first-time, first-year students </td> <td> 1,679 </td> <td> 7 </td> <td> 1,903 </td> <td> 7 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> Other first-year, degree-seeking students </td> <td> 886 </td> <td> 104 </td> <td> 821 </td> <td> 98 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> All other degree-seeking undergraduate <br/> students </td> <td> 5,481 </td> <td> 742 </td> <td> 5,901 </td> <td> 530 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> Total degree-seeking undergraduate students </td> <td> 8,046 </td> <td> 853 </td> <td> 8,625 </td> <td> 635 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> All other undergraduates enrolled in credit <br/> courses </td> <td> 148 </td> <td> 90 </td> <td> 94 </td> <td> 76 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> Total Undergraduate Students </td> <td> 8,194 </td> <td> 943 </td> <td> 8,719 </td> <td> 711 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td colspan=""3""> </td> <td> degree-seeking </td> <td> 1,488 </td> <td> </td> <td> </td> </tr> <tr> <td colspan=""4""> </td> <td> 16,671 </td> <td colspan=""2""> </td> </tr> <tr> <td colspan=""4""> </td> <td> 18,159 </td> <td colspan=""2""> </td> </tr> <tr> <td colspan=""4""> </td> <td> 18,567 </td> <td colspan=""2""> </td> </tr> </table><div class=""separator""></div><table> <tr> <td> </td> <td colspan=""2""> Men </td> <td colspan=""2""> Women </td> <td colspan=""2""> Another Gender </td> </tr> <tr> <td> </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> </tr> <tr> <td colspan=""7""> GRADUATE STUDENTS </td> </tr> <tr> <td> Degree-seeking, first-time </td> <td> 207 </td> <td> 134 </td> <td> 328 </td> <td> 131 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> All other degree-seeking </td> <td> 775 </td> <td> 855 </td> <td> 1,090 </td> <td> 972 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> All other graduates enrolled in credit courses </td> <td> 13 </td> <td> 32 </td> <td> 4 </td> <td> 42 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> Total Graduate Students </td> <td> 995 </td> <td> 1,021 </td> <td> 1,422 </td> <td> 1,145 </td> <td> 0 </td> <td> 0 </td> </tr> </table>",176080,../data/cds-docs/2024-2025/176080.pdf,2024-2025
B,4,B4,- B21. Graduation Rates,"[[{0: '', 1: '2017 COHORT', 2: '2017 COHORT', 3: '2017 COHORT', 4: '2017 COHORT'}, {0: '2017 cohort if available.', 1: 'Recipients\nof a Federal\nPell Grant', 2: 'Recipients of\na Subsidized\nStafford Loan,\nwho did not\nreceive Grant a Pell', 3: 'Students who\ndid not receive\neither a Pell\nsubsidized Grant or a\nStafford Loan', 4: 'Total'}, {0: ""A. Initial 2017 cohort of first-time, full-time, bachelor's (or equivalent)\ndegree-seeking undergraduate students"", 1: '1,152', 2: '502', 3: '1,772', 4: '3,426'}, {0: 'B. Of the Initial 2017 cohort, how many did not persist and did not graduate\nfor any of the following reasons: (report total allowable exclusions)\n- Deceased - Permanently Disabled\n- Armed Forces - Foreign Aid Service of the Federal Government\n- Official church missions', 1: '1', 2: '0', 3: '1', 4: '2'}, {0: 'C. Final 2017 cohort, after adjusting for allowable exclusions', 1: '1,151', 2: '502', 3: '1,771', 4: '3,424'}, {0: 'D. Of the initial 2017 cohort, how many completed the program in four\nyears or less (by Aug. 31, 2022)?', 1: '350', 2: '220', 3: '895', 4: '1,465'}, {0: 'E. Of the initial 2017 cohort, how many completed the program in more\nthan four years but in five years or less (after Aug. 31, 2022 and by Aug. 31,\n2023)?', 1: '167', 2: '67', 3: '331', 4: '565'}, {0: 'F. Of the initial 2017 cohort, how many completed the program in more\nthan five years but in six years or less (after Aug. 31, 2023 and by Aug. 31,\n2024)?', 1: '48', 2: '23', 3: '53', 4: '124'}, {0: 'G. Total graduating within six years\n(Sum of D., E., and F.)', 1: '565', 2: '310', 3: '1,279', 4: '2,154'}, {0: 'H. Six-year graduation rate for 2017 cohort\n(G. divided by C.)', 1: '49.1%', 2: '61.8%', 3: '72.2%', 4: '62.9%'}]]","<table> <tr> <td> </td> <td colspan=""4""> 2017 COHORT </td> </tr> <tr> <td> 2017 cohort if available. </td> <td> Recipients <br/> of a Federal <br/> Pell Grant </td> <td> Recipients of <br/> a Subsidized <br/> Stafford Loan, <br/> who did not <br/> receive Grant a Pell </td> <td> Students who <br/> did not receive <br/> either a Pell <br/> subsidized Grant or a <br/> Stafford Loan </td> <td> Total </td> </tr> <tr> <td> A. Initial 2017 cohort of first-time, full-time, bachelor's (or equivalent) <br/> degree-seeking undergraduate students </td> <td> 1,152 </td> <td> 502 </td> <td> 1,772 </td> <td> 3,426 </td> </tr> <tr> <td> B. Of the Initial 2017 cohort, how many did not persist and did not graduate <br/> for any of the following reasons: (report total allowable exclusions) <br/> - Deceased - Permanently Disabled <br/> - Armed Forces - Foreign Aid Service of the Federal Government <br/> - Official church missions </td> <td> 1 </td> <td> 0 </td> <td> 1 </td> <td> 2 </td> </tr> <tr> <td> C. Final 2017 cohort, after adjusting for allowable exclusions </td> <td> 1,151 </td> <td> 502 </td> <td> 1,771 </td> <td> 3,424 </td> </tr> <tr> <td> D. Of the initial 2017 cohort, how many completed the program in four <br/> years or less (by Aug. 31, 2022)? </td> <td> 350 </td> <td> 220 </td> <td> 895 </td> <td> 1,465 </td> </tr> <tr> <td> E. Of the initial 2017 cohort, how many completed the program in more <br/> than four years but in five years or less (after Aug. 31, 2022 and by Aug. 31, <br/> 2023)? </td> <td> 167 </td> <td> 67 </td> <td> 331 </td> <td> 565 </td> </tr> <tr> <td> F. Of the initial 2017 cohort, how many completed the program in more <br/> than five years but in six years or less (after Aug. 31, 2023 and by Aug. 31, <br/> 2024)? </td> <td> 48 </td> <td> 23 </td> <td> 53 </td> <td> 124 </td> </tr> <tr> <td> G. Total graduating within six years <br/> (Sum of D., E., and F.) </td> <td> 565 </td> <td> 310 </td> <td> 1,279 </td> <td> 2,154 </td> </tr> <tr> <td> H. Six-year graduation rate for 2017 cohort <br/> (G. divided by C.) </td> <td> 49.1% </td> <td> 61.8% </td> <td> 72.2% </td> <td> 62.9% </td> </tr> </table>",176080,../data/cds-docs/2024-2025/176080.pdf,2024-2025
C,1,C1,"Applications: First-time, First-year Students","[[{0: 'In-State', 1: 'Out-of-State', 2: 'International', 3: 'Total'}, {0: '7,127', 1: '14,801', 2: '1,457', 3: '23,385'}, {0: '5,590', 1: '11,803', 2: '753', 3: '18,146'}, {0: '1,993', 1: '1,565', 2: '38', 3: '3,596'}]]","<table> <tr> <td> In-State </td> <td> Out-of-State </td> <td> International </td> <td> Total </td> </tr> <tr> <td> 7,127 </td> <td> 14,801 </td> <td> 1,457 </td> <td> 23,385 </td> </tr> <tr> <td> 5,590 </td> <td> 11,803 </td> <td> 753 </td> <td> 18,146 </td> </tr> <tr> <td> 1,993 </td> <td> 1,565 </td> <td> 38 </td> <td> 3,596 </td> </tr> </table>",176080,../data/cds-docs/2024-2025/176080.pdf,2024-2025
C,5,C5,Admission Requirements: High School Units Required/Recommended,"[[{0: '', 1: 'Required Units', 2: 'Recommended Units'}, {0: 'Total Academic Units', 1: '18', 2: '20'}, {0: 'English', 1: '4', 2: '4'}, {0: 'Mathematics', 1: '4', 2: '4'}, {0: 'Science', 1: '3', 2: '4'}, {0: 'of Science Units, how many units must be lab', 1: '3', 2: '4'}, {0: 'Foreign language', 1: '', 2: ''}, {0: 'Social Studies', 1: '3', 2: '4'}, {0: 'History', 1: '', 2: ''}, {0: 'Computer Science', 1: '1', 2: '1'}, {0: 'Visual/Performing Arts', 1: '1', 2: '1'}, {0: 'Academic Electives', 1: '2', 2: '2'}]]","<table> <tr> <td> </td> <td> Required Units </td> <td> Recommended Units </td> </tr> <tr> <td> Total Academic Units </td> <td> 18 </td> <td> 20 </td> </tr> <tr> <td> English </td> <td> 4 </td> <td> 4 </td> </tr> <tr> <td> Mathematics </td> <td> 4 </td> <td> 4 </td> </tr> <tr> <td> Science </td> <td> 3 </td> <td> 4 </td> </tr> <tr> <td> of Science Units, how many units must be lab </td> <td> 3 </td> <td> 4 </td> </tr> <tr> <td> Foreign language </td> <td> </td> <td> </td> </tr> <tr> <td> Social Studies </td> <td> 3 </td> <td> 4 </td> </tr> <tr> <td> History </td> <td> </td> <td> </td> </tr> <tr> <td> Computer Science </td> <td> 1 </td> <td> 1 </td> </tr> <tr> <td> Visual/Performing Arts </td> <td> 1 </td> <td> 1 </td> </tr> <tr> <td> Academic Electives </td> <td> 2 </td> <td> 2 </td> </tr> </table>",176080,../data/cds-docs/2024-2025/176080.pdf,2024-2025
C,9,C9,"First-time, first-year profile: National standardized test scores (SAT/ACT)","[[{0: '6%', 1: '209'}, {0: '85%', 1: '3,041'}], [{0: '1100', 1: '1200', 2: '1340'}, {0: '560', 1: '620', 2: '670'}, {0: '540', 1: '590', 2: '680'}, {0: '21', 1: '25', 2: '29'}, {0: '19', 1: '24', 2: '27'}, {0: '21', 1: '24', 2: '30'}, {0: '22', 1: '26', 2: '32'}, {0: '21', 1: '24', 2: '28'}], [{0: 'SAT Evidence\ufffe\nBased Reading\nand Writing', 1: 'SAT Math'}, {0: '18%', 1: '22%'}, {0: '40%', 1: '27%'}, {0: '33%', 1: '39%'}, {0: '7%', 1: '8%'}, {0: '2%', 1: '4%'}, {0: '100%', 1: '100%'}], [{0: 'ACT English', 1: 'ACT Math', 2: 'ACT Reading', 3: 'ACT Science'}, {0: '27%', 1: '14%', 2: '36%', 3: '20%'}, {0: '30%', 1: '38%', 2: '27%', 3: '36%'}, {0: '33%', 1: '32%', 2: '30%', 3: '39%'}, {0: '9%', 1: '16%', 2: '6%', 3: '5%'}, {0: '1%', 1: '0%', 2: '0%', 3: '0%'}, {0: '0%', 1: '0%', 2: '0%', 3: '0%'}, {0: '100%', 1: '100%', 2: '100%', 3: '100%'}]]","<table> <tr> <td> 6% </td> <td> 209 </td> </tr> <tr> <td> 85% </td> <td> 3,041 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> 1100 </td> <td> 1200 </td> <td> 1340 </td> </tr> <tr> <td> 560 </td> <td> 620 </td> <td> 670 </td> </tr> <tr> <td> 540 </td> <td> 590 </td> <td> 680 </td> </tr> <tr> <td> 21 </td> <td> 25 </td> <td> 29 </td> </tr> <tr> <td> 19 </td> <td> 24 </td> <td> 27 </td> </tr> <tr> <td> 21 </td> <td> 24 </td> <td> 30 </td> </tr> <tr> <td> 22 </td> <td> 26 </td> <td> 32 </td> </tr> <tr> <td> 21 </td> <td> 24 </td> <td> 28 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> SAT Evidence￾ <br/> Based Reading <br/> and Writing </td> <td> SAT Math </td> </tr> <tr> <td> 18% </td> <td> 22% </td> </tr> <tr> <td> 40% </td> <td> 27% </td> </tr> <tr> <td> 33% </td> <td> 39% </td> </tr> <tr> <td> 7% </td> <td> 8% </td> </tr> <tr> <td> 2% </td> <td> 4% </td> </tr> <tr> <td> 100% </td> <td> 100% </td> </tr> </table><div class=""separator""></div><table> <tr> <td> ACT English </td> <td> ACT Math </td> <td> ACT Reading </td> <td> ACT Science </td> </tr> <tr> <td> 27% </td> <td> 14% </td> <td> 36% </td> <td> 20% </td> </tr> <tr> <td> 30% </td> <td> 38% </td> <td> 27% </td> <td> 36% </td> </tr> <tr> <td> 33% </td> <td> 32% </td> <td> 30% </td> <td> 39% </td> </tr> <tr> <td> 9% </td> <td> 16% </td> <td> 6% </td> <td> 5% </td> </tr> <tr> <td> 1% </td> <td> 0% </td> <td> 0% </td> <td> 0% </td> </tr> <tr> <td> 0% </td> <td> 0% </td> <td> 0% </td> <td> 0% </td> </tr> <tr> <td> 100% </td> <td> 100% </td> <td> 100% </td> <td> 100% </td> </tr> </table>",176080,../data/cds-docs/2024-2025/176080.pdf,2024-2025
D,2,D2,Fall Applicants: Student Counts,"[[{0: '2,038', 1: '3,251', 2: '990'}, {0: '2,326', 1: '2,550', 2: '919'}, {0: '0', 1: '0', 2: '0'}, {0: '4,364', 1: '5,801', 2: '1,909'}]]","<table> <tr> <td> 2,038 </td> <td> 3,251 </td> <td> 990 </td> </tr> <tr> <td> 2,326 </td> <td> 2,550 </td> <td> 919 </td> </tr> <tr> <td> 0 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> 4,364 </td> <td> 5,801 </td> <td> 1,909 </td> </tr> </table>",176080,../data/cds-docs/2024-2025/176080.pdf,2024-2025
F,1,F1,"First-time, first-year degree-seeking students and undergraduates enrolled","[[{0: 'First-time,\nFirst-year Students', 1: 'Undergraduates'}, {0: '43.5%', 1: '32.7%'}, {0: '34.4%', 1: '21.4%'}, {0: '43.1%', 1: '27.5%'}, {0: '99.0%', 1: '33.0%'}, {0: '1.0%', 1: '67.0%'}, {0: '0.2%', 1: '7.7%'}, {0: '18', 1: '21'}, {0: '18', 1: '21'}]]","<table> <tr> <td> First-time, <br/> First-year Students </td> <td> Undergraduates </td> </tr> <tr> <td> 43.5% </td> <td> 32.7% </td> </tr> <tr> <td> 34.4% </td> <td> 21.4% </td> </tr> <tr> <td> 43.1% </td> <td> 27.5% </td> </tr> <tr> <td> 99.0% </td> <td> 33.0% </td> </tr> <tr> <td> 1.0% </td> <td> 67.0% </td> </tr> <tr> <td> 0.2% </td> <td> 7.7% </td> </tr> <tr> <td> 18 </td> <td> 21 </td> </tr> <tr> <td> 18 </td> <td> 21 </td> </tr> </table>",176080,../data/cds-docs/2024-2025/176080.pdf,2024-2025
G,1,G1,"Undergraduate, full-time tuition, required fees, food and housing","[[{0: 'Tuition: In-state:', 1: '$10,052', 2: '$10,052'}, {0: '', 1: '$27,487', 2: '$27,487'}, {0: 'Tuitition: International (non-resident)', 1: '$27,487', 2: '$27,487'}], [{0: '$150', 1: '$150'}, {0: '$12,902', 1: '$12,902'}, {0: '$8,016', 1: '$8,016'}, {0: '$4,886', 1: '$4,886'}]]","<table> <tr> <td> Tuition: In-state: </td> <td> $10,052 </td> <td> $10,052 </td> </tr> <tr> <td> </td> <td> $27,487 </td> <td> $27,487 </td> </tr> <tr> <td> Tuitition: International (non-resident) </td> <td> $27,487 </td> <td> $27,487 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> $150 </td> <td> $150 </td> </tr> <tr> <td> $12,902 </td> <td> $12,902 </td> </tr> <tr> <td> $8,016 </td> <td> $8,016 </td> </tr> <tr> <td> $4,886 </td> <td> $4,886 </td> </tr> </table>",176080,../data/cds-docs/2024-2025/176080.pdf,2024-2025
G,5,G5,Estimated Expenses for Typical Full-Time Undergraduates,"[[{0: '$1,200', 1: '$1,200', 2: '$1,200'}, {0: '', 1: '', 2: '$8,301'}, {0: '', 1: '$4,886', 2: '$4,886'}, {0: '$2,937', 1: '$2,937', 2: '$2,937'}, {0: '$3,472', 1: '$3,472', 2: '$3,472'}]]","<table> <tr> <td> $1,200 </td> <td> $1,200 </td> <td> $1,200 </td> </tr> <tr> <td rowspan=""2""> </td> <td> </td> <td> $8,301 </td> </tr> <tr> <td> $4,886 </td> <td> $4,886 </td> </tr> <tr> <td> $2,937 </td> <td> $2,937 </td> <td> $2,937 </td> </tr> <tr> <td> $3,472 </td> <td> $3,472 </td> <td> $3,472 </td> </tr> </table>",176080,../data/cds-docs/2024-2025/176080.pdf,2024-2025
H,1,H1,Aid Awarded to Enrolled Undergraduates,"[[{0: '', 1: '', 2: 'Need-Based\n(Include non-need\nbased aid use to meet\nneed).', 3: 'Non-Need-Based\n(Exclude non-need\ufffe\nbased aid use to meet\nneed).'}, {0: 'Scholarships Grants /', 1: 'Federal', 2: '$33,381,453.00', 3: ''}, {0: 'Scholarships Grants /', 1: 'State - all states, not only the state in which\nyour institution is located', 2: '$10,425,708.00', 3: '$2,065,702.00'}, {0: 'Scholarships Grants /', 1: 'Instititutional - Endowed scholarships, annual\ngifts and tuition funded grants, awarded by\nthe college, excluding athletic aid and tuition\nwaivers (which are reported below)', 2: '$43,821,317.00', 3: '$29,992,954.00'}, {0: 'Scholarships Grants /', 1: 'Scholarships/grants from external sources\n(e.g. Kiwanis, National Merit) not awarded by\nthe college', 2: '$8,707,567.00', 3: '$2,554,127.00'}, {0: 'Scholarships Grants /', 1: 'Total Scholarships/Grants', 2: '$96,336,045.00', 3: '$34,612,783.00'}, {0: 'Self Help', 1: 'Student loans from all sources\n(excluding parent loans)', 2: '$82,857,473.00', 3: '$18,875,680.00'}, {0: 'Self Help', 1: 'Federal Work-Study', 2: '$1,547,010.00', 3: ''}, {0: 'Self Help', 1: 'State and other (e.g., institutional) work\ufffe\nstudy/employment (Note: excludes Federal\nWork/Study captured above)', 2: '', 3: ''}, {0: 'Self Help', 1: 'Total Self-Help', 2: '$84,404,483.00', 3: '$18,875,680.00'}, {0: 'MISC.', 1: 'Parent Loans', 2: '$15,426,239.00', 3: '$8,822,548.00'}, {0: 'MISC.', 1: 'Tuition Waivers', 2: '', 3: '$67,283,361.36'}, {0: 'MISC.', 1: 'Athletic Awards', 2: '', 3: '$11,513,267.22'}]]","<table> <tr> <td> </td> <td> </td> <td> Need-Based <br/> (Include non-need <br/> based aid use to meet <br/> need). </td> <td> Non-Need-Based <br/> (Exclude non-need￾ <br/> based aid use to meet <br/> need). </td> </tr> <tr> <td rowspan=""5""> Scholarships Grants / </td> <td> Federal </td> <td> $33,381,453.00 </td> <td> </td> </tr> <tr> <td> State - all states, not only the state in which <br/> your institution is located </td> <td> $10,425,708.00 </td> <td> $2,065,702.00 </td> </tr> <tr> <td> Instititutional - Endowed scholarships, annual <br/> gifts and tuition funded grants, awarded by <br/> the college, excluding athletic aid and tuition <br/> waivers (which are reported below) </td> <td> $43,821,317.00 </td> <td> $29,992,954.00 </td> </tr> <tr> <td> Scholarships/grants from external sources <br/> (e.g. Kiwanis, National Merit) not awarded by <br/> the college </td> <td> $8,707,567.00 </td> <td> $2,554,127.00 </td> </tr> <tr> <td> Total Scholarships/Grants </td> <td> $96,336,045.00 </td> <td> $34,612,783.00 </td> </tr> <tr> <td rowspan=""4""> Self Help </td> <td> Student loans from all sources <br/> (excluding parent loans) </td> <td> $82,857,473.00 </td> <td> $18,875,680.00 </td> </tr> <tr> <td> Federal Work-Study </td> <td> $1,547,010.00 </td> <td> </td> </tr> <tr> <td> State and other (e.g., institutional) work￾ <br/> study/employment (Note: excludes Federal <br/> Work/Study captured above) </td> <td> </td> <td> </td> </tr> <tr> <td> Total Self-Help </td> <td> $84,404,483.00 </td> <td> $18,875,680.00 </td> </tr> <tr> <td rowspan=""3""> MISC. </td> <td> Parent Loans </td> <td> $15,426,239.00 </td> <td> $8,822,548.00 </td> </tr> <tr> <td> Tuition Waivers </td> <td> </td> <td> $67,283,361.36 </td> </tr> <tr> <td> Athletic Awards </td> <td> </td> <td> $11,513,267.22 </td> </tr> </table>",176080,../data/cds-docs/2024-2025/176080.pdf,2024-2025
